forecast_origin_date,rows,chronos_mae,random_walk_mae,chronos_rmse,random_walk_rmse,chronos_mase,random_walk_mase,chronos_direction_accuracy,random_walk_direction_accuracy,pinball_q0.1,pinball_q0.5,pinball_q0.9,interval_80_coverage,interval_mean_width,mae_improvement_vs_random_walk_percent,rmse_improvement_vs_random_walk_percent
1996-12-31,5,2.8977124023437684,0.6799999999999727,3.055675726458985,0.7974960814950572,8.160095149964155,1.9149121553565127,0.2,0.0,0.8855549316406268,1.4488562011718842,0.2968852539062481,1.0,11.82440185546875,-326.13417681527716,-283.15871354885445
1997-07-01,5,2.049023437500023,0.519999999999959,2.1347482400589612,0.5403702434441979,5.527047801534555,1.4026510405875778,0.8,0.0,0.8343664550781273,1.0245117187500115,0.44790283203124764,1.0,12.82269287109375,-294.0429687500354,-295.05288567567266
1997-12-31,5,157.44640624999997,334.4799999999999,159.15981904150524,336.57815140023564,229.087194144544,486.674078643615,1.0,0.0,53.31602734375,78.72320312499998,28.583040039062496,1.0,818.990673828125,52.92800578509925,52.71237352176098
1998-07-01,5,5.960292968749991,17.260000000000037,6.634131690139834,19.448547503605532,5.934882846524753,17.186416585240547,1.0,0.0,2.642803710937501,2.9801464843749956,3.134576660156249,1.0,57.7738037109375,65.46759577781009,65.88880640618562
1998-12-31,5,18.282543945312455,33.879999999999924,22.24849690785763,37.44548036812981,16.471764027440987,30.524382543206407,1.0,0.0,5.4221391601562345,9.141271972656227,3.7715180664062466,0.4,38.812255859375,46.03735553331613,40.58429297973827
1999-07-01,5,19.10171386718748,7.020000000000072,19.903792682399597,7.84538080656387,16.613225371072392,6.105464824560327,0.0,0.0,3.475083496093748,9.55085693359374,3.1058002929687243,0.2,32.24345703125,-172.10418614226901,-153.70078487136033
1999-12-30,5,9.086650390625028,10.520000000000119,10.35840370286417,12.46595363379806,7.71225876923709,8.928808610935711,0.8,0.0,1.1425800781250064,4.543325195312514,2.017205078125002,0.8,28.91513671875,13.624996286835309,16.906447696226298
2000-06-30,5,4.395043945312546,1.6200000000000727,5.4243781718172785,2.113291271926397,3.6621034338652003,1.349840328488457,0.4,0.0,1.6320971679687546,2.197521972656273,0.7672729492187453,1.0,23.993701171875,-171.29900896989804,-156.67915463790368
2001-01-02,5,9.632768554687527,11.439999999999964,12.597652416655722,13.593233610881555,7.7926582840737595,9.254661343069646,0.8,0.0,2.6133808593749976,4.816384277343763,2.6468706054687523,1.0,52.6025146484375,15.797477668815063,7.324093903814454
2001-06-29,5,2.489877929687509,4.939999999999964,3.0118760558334525,5.569380575970697,1.9143663416261965,3.798166012427859,1.0,0.0,2.120311523437499,1.2449389648437545,1.7623251953125005,1.0,38.8263671875,49.597612759361795,45.92080726484547
2002-01-02,5,7.107841796874982,6.419999999999982,8.624285545681332,7.08392546544634,5.360883134871918,4.842098446958859,0.4,0.0,0.9284775390625055,3.553920898437491,2.178998046874994,1.0,31.074755859375,-10.71404668029597,-21.744442226961482
2002-06-28,5,13.127075195312454,2.4199999999999817,13.302565059697187,2.652922916332086,9.718023154254421,1.7915351046129018,0.8,0.0,2.4931127929687458,6.563537597656227,1.226259765624968,0.2,23.8137451171875,-442.44112377324603,-401.4305156702113
2003-01-02,5,8.881347656249954,3.239999999999964,9.170554090597584,4.2806541556168485,6.387680728258251,2.330286614215841,0.2,0.0,2.067395019531246,4.440673828124977,0.6626049804687364,0.8,23.70546875,-174.11566840277942,-114.23253916844618
2003-07-01,5,3.6544921875000456,9.600000000000136,4.23655463656145,10.375548178289309,2.5693548871125413,6.749448528210991,1.0,0.0,0.9217187499999955,1.8272460937500228,1.586154785156254,1.0,25.0787353515625,61.932373046875064,59.16789586668412
2004-01-02,5,3.4245361328124546,5.239999999999964,3.844304092865259,6.503845016603587,2.3855577652482216,3.650223623026721,0.8,0.0,1.224058593750001,1.7122680664062273,1.5944594726562484,1.0,28.1851806640625,34.64625700739545,40.89182501964328
2004-07-01,5,9.249594726562464,1.6399999999999637,9.42623377890908,1.94730583114206,6.340826676123927,1.124260689928379,0.0,0.0,2.062310546874996,4.624797363281232,0.21256982421875356,1.0,22.7488037109375,-463.9996784489432,-384.0654009329784
2004-12-31,5,5.9943798828125185,5.520000000000027,8.069259767843402,5.779619364629504,4.057159036287888,3.7360858534380115,0.6,0.0,1.3686806640624944,2.9971899414062593,1.7146860351562463,0.6,16.8376708984375,-8.593838456747992,-39.615764616372324
2005-07-01,5,11.014506835937528,14.840000000000055,12.422992740389994,16.84268387164,7.380126237137129,9.943347894776013,1.0,0.0,2.224869140625001,5.507253417968764,0.6293129882812671,0.6,27.5357666015625,25.77825582252367,26.241014584925846
2006-01-02,5,10.22410644531251,12.840000000000009,11.871354667387035,14.3020278282487,6.791231474032989,8.52880519124117,1.0,0.0,2.2054519042968628,5.112053222656255,1.9093710937500006,0.4,18.67913818359377,20.37300276236369,16.995304372577944
2006-06-30,5,11.178303222656268,13.279999999999927,11.77490290012917,13.783903656076461,7.326204169000425,8.703645752526466,1.0,0.0,3.2316386718750074,5.589151611328134,1.874773681640622,0.4,15.463317871093704,15.826029949877034,14.574976770543866
2007-01-02,5,3.776164550781209,3.8799999999999955,4.486817185794836,4.383149552547784,2.460041293731998,2.527686516654972,0.6,0.0,0.728559326171876,1.8880822753906046,0.7526113281249966,1.0,14.811706542968727,2.6761713716182065,-2.365140226319524
2007-06-29,5,3.482802734374991,5.279999999999927,4.126879773500417,5.866515149558491,2.2692866964246448,3.440284928819596,1.0,0.0,0.4832658691406209,1.7414013671874955,0.8048615722656244,0.8,9.731958007812546,34.037827000472745,29.653641586334214
2008-01-02,5,2.307336425781318,1.9600000000000137,2.737832088103249,2.376552124402089,1.495230749675589,1.2701451927938021,0.4,0.0,0.9004216308593778,1.153668212890659,0.5394257812499949,1.0,14.398474121093727,-17.721246213331728,-15.201853138064621
2008-07-01,5,3.400893554687491,3.5799999999999725,3.7607479543272775,3.8799484532658455,2.162848406891154,2.276753791955061,0.6,0.0,1.1498974609374957,1.7004467773437455,1.0935913085937543,1.0,22.4348876953125,5.002973332750919,3.0722186228591277
2009-01-02,5,83.399013671875,53.05999999999999,84.01102139096523,54.09774486981875,47.4400049058239,30.18221138929237,0.0,0.0,12.0594814453125,41.6995068359375,39.046499999999995,0.0,77.209814453125,-57.178691428335874,-55.294867823289174
