forecast_origin_date,rows,chronos_mae,random_walk_mae,chronos_rmse,random_walk_rmse,chronos_mase,random_walk_mase,chronos_direction_accuracy,random_walk_direction_accuracy,pinball_q0.1,pinball_q0.5,pinball_q0.9,mean_pinball_loss,interval_80_coverage,interval_mean_width,mae_improvement_vs_random_walk_percent,rmse_improvement_vs_random_walk_percent
1996-12-31,20,6.431517944335946,5.609999999999962,7.19044258814024,7.137016183251906,18.11145866029842,15.798025281691755,0.25,0.0,1.3415844116210947,3.215758972167973,0.9366599121093799,1.831334431966149,0.65,13.644869995117187,-14.643813624527438,-0.7485818094921333
1997-01-31,20,7.613957519531243,6.875000000000023,8.820248673858512,8.411272198662958,21.335631246855765,19.264943946149636,0.5,0.0,1.4444100341796866,3.8069787597656215,1.8374646606445277,2.3629511515299453,0.6,18.734902954101564,-10.748473011363162,-4.862242780117891
1997-02-28,20,14.595620117187497,14.040000000000015,16.10886625547983,16.541251464142622,40.1809197108604,38.65132883776285,0.55,0.0,2.535198913574219,7.297810058593749,4.477289489746087,4.770099487304685,0.3,21.480975341796874,-3.9574082420760797,2.6139812311063575
1997-04-01,20,5.723727416992171,1.4250000000000171,7.315805446107949,1.7459954180925317,15.585785158591687,3.880293772386647,0.7,0.0,0.5563051147460948,2.8618637084960854,1.6216010742187474,1.6799232991536426,1.0,21.779061889648425,-301.6650818941826,-319.0048479107885
1997-04-30,20,3.078330688476575,0.9200000000000216,3.555285515592084,1.1945710527214475,8.336760504561552,2.491551571411094,0.3,0.0,0.9252591552734379,1.5391653442382875,1.3162609252929676,1.2602284749348975,1.0,22.415200805664057,-234.6011617909242,-197.6202635659474
1997-05-30,20,2.8987286376953136,2.2699999999999534,3.289961540614391,2.649905658698019,7.819601167669411,6.123544791250985,0.7,0.05,0.8581910400390627,1.4493643188476568,1.0291981811523438,1.112251180013021,1.0,18.873892211914068,-27.69729681477415,-24.15391203892334
1997-07-01,20,4.9059246826171945,2.945000000000016,5.398112563496078,3.6999324318155122,13.2332699252266,7.9438602202514685,0.25,0.0,1.2447596435546882,2.4529623413085972,0.42804156494140555,1.375254516601564,0.75,15.068252563476562,-66.58487886645732,-45.897598482556305
1997-08-01,20,9.46097045898436,6.115000000000026,10.192029462943204,7.346665910465809,25.454596075702018,16.452313816824677,0.15,0.0,1.6215599975585924,4.73048522949218,2.5151108398437416,2.955718688964838,0.15,13.873196411132813,-54.717423695573494,-38.729997895017746
1997-09-01,20,7.082912597656258,8.060000000000002,7.5422066022679655,8.872429205127533,18.940480193974533,21.55331839248591,0.6,0.0,1.634124694824219,3.541456298828129,0.5681488647461015,1.9145766194661498,0.75,18.5231689453125,12.122672485654391,14.99276660433434
1997-10-01,20,6.108107299804686,6.950000000000012,12.043281955418495,14.132869489243872,16.29527958936424,18.541290712051346,0.65,0.05,1.4736572875976572,3.054053649902343,2.851797119140623,2.4598360188802078,0.85,18.632473754882803,12.113564031587394,14.78530269748619
1997-10-31,20,53.56062438964843,58.389999999999965,80.37960781104682,83.46945549121544,140.38405080346774,153.04199343872287,0.95,0.0,7.3704990234375005,26.780312194824216,31.79874353027342,21.983184916178377,0.6,51.23248901367191,8.270895033998178,3.7017705003404524
1997-12-01,20,281.7581640625,329.43500000000006,347.5884541808466,397.5459237622743,664.5756774026543,777.0297943756444,0.95,0.0,40.06287207031251,140.87908203125,127.89012353515622,102.94402587890625,0.35,285.07147216796875,14.472304380985646,12.566465053557284
1997-12-31,20,109.56677246093747,274.63499999999993,123.9281238510402,286.1114564291335,159.4215141036277,399.59858762344317,1.0,0.0,58.085409790039066,54.783386230468736,65.52533544921873,59.46471048990884,1.0,1236.1074523925781,60.10458519091249,56.685368213580865
1998-01-30,20,60.94404296874999,69.35999999999996,66.76376246267492,80.10901946722349,75.87459548537534,86.3523600750305,0.85,0.0,23.987814941406256,30.472021484374995,27.975419921874995,27.47841878255208,1.0,519.6323486328125,12.133732744016685,16.65886949222836
1998-02-27,20,102.81195190429685,134.3599999999999,123.63949614691329,157.90069980845547,119.29847969836491,155.90545102375785,1.0,0.0,9.11606054687499,51.405975952148424,27.14133325195312,29.22112325032551,0.8,323.12164306640625,23.480238237349713,21.697942886322483
