forecast_origin_date,rows,chronos_mae,random_walk_mae,chronos_rmse,random_walk_rmse,chronos_mase,random_walk_mase,chronos_direction_accuracy,random_walk_direction_accuracy,pinball_q0.1,pinball_q0.5,pinball_q0.9,interval_80_coverage,interval_mean_width,mae_improvement_vs_random_walk_percent,rmse_improvement_vs_random_walk_percent
1996-12-31,20,6.431517944335946,5.609999999999962,7.19044258814024,7.137016183251906,18.11145866029842,15.798025281691755,0.25,0.0,1.3415844116210947,3.215758972167973,0.9366599121093799,0.65,13.644869995117187,-14.643813624527438,-0.7485818094921333
1997-07-01,20,4.9059246826171945,2.945000000000016,5.398112563496078,3.6999324318155122,13.2332699252266,7.9438602202514685,0.25,0.0,1.2447596435546882,2.4529623413085972,0.42804156494140555,0.75,15.068252563476562,-66.58487886645732,-45.897598482556305
1997-12-31,20,109.56677246093747,274.63499999999993,123.9281238510402,286.1114564291335,159.4215141036277,399.59858762344317,1.0,0.0,58.085409790039066,54.783386230468736,65.52533544921873,1.0,1236.1074523925781,60.10458519091249,56.685368213580865
1998-07-01,20,52.49693237304687,74.51000000000003,64.4285887368521,86.3906765802885,52.27312567846941,74.19234645227525,1.0,0.0,20.00120520019531,26.248466186523434,9.197853027343747,0.3,77.83759155273438,29.543776173605096,25.42182642015263
1998-12-31,20,10.445270996093734,31.674999999999965,13.904352683993642,33.003477089543125,9.410727498589859,28.53777500165478,1.0,0.0,3.27250122070312,5.222635498046867,3.950325317382813,0.85,57.83018188476562,67.02361169346882,57.87003700770935
1999-07-01,20,44.45796264648438,26.7900000000001,48.1610257932627,30.688955668122787,38.66617195295221,23.299914907403142,0.0,0.0,6.654781860351564,22.22898132324219,19.966065917968756,0.05,44.546234130859375,-65.94984190550286,-56.93276211183847
1999-12-30,20,7.423184814453134,14.4650000000001,8.626849002110488,15.948557928540227,6.300398906069926,12.27711184003655,0.9,0.0,1.5014836425781255,3.711592407226567,2.486265991210939,0.95,39.561859130859375,48.68175033215981,45.90828185993802
2000-06-30,20,6.38632568359377,1.585000000000025,7.057849963808504,1.9221082175569848,5.321308616404998,1.3206771115149027,0.5,0.0,2.211572021484377,3.193162841796885,0.9005574951171852,1.0,31.121295166015624,-302.9227560626921,-267.19316318095184
2001-01-02,20,11.011744384765631,13.274999999999967,13.97971839979076,15.94623780081056,8.908213730546773,10.739128437871472,0.85,0.05,3.644846313476564,5.5058721923828156,5.55328234863281,1.0,91.98128662109374,17.049006517772813,12.332184089966592
2001-06-29,20,6.716682128906245,4.970000000000004,8.346065558489725,5.693329430131368,5.164184975363055,3.8212317979284656,0.5,0.0,3.4214583740234366,3.3583410644531226,2.1317319335937506,1.0,55.53190307617187,-35.14450963594044,-46.59375785140801
2002-01-02,20,5.447633056640621,6.490000000000009,6.6905572717361945,8.34326075344648,4.108718935071863,4.894893912891453,0.6,0.05,2.249740112304687,2.7238165283203104,2.679952880859375,1.0,49.296929931640626,16.061123934659275,19.808843694925596
2002-06-28,20,10.114842529296869,20.139999999999976,11.5827608989658,24.124240920700462,7.488055978870672,14.909717771447962,0.95,0.0,1.8398251953124973,5.0574212646484344,2.1159755859374956,0.8,36.70572509765625,49.777345931991654,51.987045159100134
2003-01-02,20,5.351397705078102,10.51499999999994,6.254169966334685,11.721113428339414,3.8488550739163614,7.562643132246821,0.8,0.0,1.7701604003906255,2.675698852539051,1.978619506835932,0.95,36.405572509765626,49.107011839485196,46.64184418509853
2003-07-01,20,5.5958605957031295,13.895000000000095,6.455127122417792,14.329323082407017,3.9342680272647734,9.769123677030315,1.0,0.0,1.2732734374999999,2.7979302978515648,2.423790771484375,1.0,36.97064208984375,59.7275236005535,54.95162552135386
2004-01-02,20,8.993972167968717,12.659999999999945,11.121677697088401,14.597910809427434,6.265269021443607,8.819051730442446,0.95,0.0,1.1146090087890614,4.496986083984359,2.769950317382811,0.95,38.57315673828125,28.95756581383289,23.813223396967576
2004-07-01,20,13.957083740234385,6.249999999999977,15.730287636142675,7.853279569708435,9.567927192185618,4.2845300683246945,0.25,0.0,2.9793417968750013,6.978541870117192,1.418648925781247,0.7,31.4873779296875,-123.31333984375098,-100.30214761253796
2004-12-31,20,5.054742431640648,7.7349999999999905,7.230381381551375,8.47115694577782,3.4211869006567723,5.235257984844717,0.75,0.0,1.8019555664062494,2.527371215820324,1.854476318359379,0.8,27.683166503906243,34.651035143624384,14.647061460062664
2005-07-01,20,7.859023437500014,10.505000000000042,9.4440730028879,12.596447912010792,5.265835859316765,7.03873784599879,0.8,0.0,2.144266662597659,3.929511718750007,2.1579742431640665,0.9,42.56770935058596,25.187782603522297,25.025903581255502
