alpha,requested_origin,rows,ensemble_mae,chronos_mae,random_walk_mae,ensemble_rmse,chronos_rmse,random_walk_rmse,ensemble_direction_accuracy,chronos_direction_accuracy,random_walk_direction_accuracy,mae_improvement_vs_random_walk_percent,rmse_improvement_vs_random_walk_percent,mae_improvement_vs_chronos_percent,rmse_improvement_vs_chronos_percent
0.5,2026-01-01,20,21.39999694824214,19.084993896484367,23.714999999999918,25.03034309495846,22.68123582487577,27.48154835521455,0.9,0.9,0.05,9.761767032501732,8.919458352829595,-12.129964852565234,-10.357051477355101
0.5,2026-02-01,20,21.32305847167969,18.643760986328118,24.110000000000003,24.465902084078866,21.949530320033737,27.195624648093663,0.95,0.95,0.0,11.559276351390759,10.037359315466734,-14.371013913535794,-11.464353575476695
0.5,2026-03-01,20,59.286614990234355,57.77322998046873,60.799999999999976,61.76826997500643,60.16693214563317,63.37220999775845,1.0,1.0,0.0,2.489120081851351,2.530983254030045,-2.6195263970480007,-2.6614915739716456
0.5,2026-04-01,20,44.450524902343794,44.20104980468754,44.700000000000045,46.986658099642526,46.97279882925942,47.018602701484056,0.55,0.55,0.0,0.5581098381571614,0.06794034702465182,-0.5644098924315469,-0.029504885228331362
0.5,2026-05-01,20,21.563442382812514,21.06688476562499,22.060000000000038,23.71622364638862,23.186904932148167,24.24957731590393,0.95,0.95,0.0,2.250941147722224,2.199434912069639,-2.357052894682182,-2.2828347111846043
0.5,2026-06-01,20,23.58385131835947,21.86270263671876,25.30499999999996,26.448525027794425,24.819537312679415,28.119166061602858,1.0,1.0,0.0,6.801615023277976,5.941289404345881,-7.872533923367811,-6.563328294934885
0.5,2026-07-01,20,52.49930175781253,53.12360351562499,51.87500000000007,59.6589826066614,60.45690253682295,58.86569884066619,0.3,0.3,0.0,-1.203473268072212,-1.3476163226099025,1.17518714186781,1.3198160949042335
