date,us_treasury_3y_percent,series_id,unit,frequency,h15_release_date,us_yield_available_at_et,us_yield_available_at_kst,us_yield_safe_from_krw_date,us_yield_availability_rule
2024-07-01,4.58,DGS3,Percent,Daily,2024-07-02,2024-07-02T16:15:00-04:00,2024-07-03T05:15:00+09:00,2024-07-04,first official H.15 release after observation date at 16:15 ET; usable from calendar day after KST release date
2024-07-02,4.54,DGS3,Percent,Daily,2024-07-03,2024-07-03T16:15:00-04:00,2024-07-04T05:15:00+09:00,2024-07-05,first official H.15 release after observation date at 16:15 ET; usable from calendar day after KST release date
2024-07-03,4.48,DGS3,Percent,Daily,2024-07-05,2024-07-05T16:15:00-04:00,2024-07-06T05:15:00+09:00,2024-07-07,first official H.15 release after observation date at 16:15 ET; usable from calendar day after KST release date
2024-07-04,,DGS3,Percent,Daily,2024-07-05,2024-07-05T16:15:00-04:00,2024-07-06T05:15:00+09:00,2024-07-07,first official H.15 release after observation date at 16:15 ET; usable from calendar day after KST release date
2024-07-05,4.39,DGS3,Percent,Daily,2024-07-08,2024-07-08T16:15:00-04:00,2024-07-09T05:15:00+09:00,2024-07-10,first official H.15 release after observation date at 16:15 ET; usable from calendar day after KST release date
2024-07-08,4.4,DGS3,Percent,Daily,2024-07-09,2024-07-09T16:15:00-04:00,2024-07-10T05:15:00+09:00,2024-07-11,first official H.15 release after observation date at 16:15 ET; usable from calendar day after KST release date
2024-07-09,4.37,DGS3,Percent,Daily,2024-07-10,2024-07-10T16:15:00-04:00,2024-07-11T05:15:00+09:00,2024-07-12,first official H.15 release after observation date at 16:15 ET; usable from calendar day after KST release date
2024-07-10,4.38,DGS3,Percent,Daily,2024-07-11,2024-07-11T16:15:00-04:00,2024-07-12T05:15:00+09:00,2024-07-13,first official H.15 release after observation date at 16:15 ET; usable from calendar day after KST release date
