horizon,origins,rows,chronos_mae,random_walk_mae,chronos_rmse,random_walk_rmse,chronos_mase,random_walk_mase,chronos_direction_accuracy,random_walk_direction_accuracy,pinball_q0.1,pinball_q0.5,pinball_q0.9,interval_80_coverage,interval_mean_width,mae_improvement_vs_random_walk_percent,rmse_improvement_vs_random_walk_percent
5,58,290,11.080694832637391,13.894827586206896,25.46733785121029,45.96837406079426,8.974804963637734,13.23735442234328,0.593103448275862,0.0172413793103448,2.8256686296134155,5.5403474163186965,2.875406767746496,0.7655172413793103,40.1796003670528,20.253095881254644,44.59813214726905
20,58,1160,17.53761285189925,21.017758620689655,31.46966834308244,45.18199385779159,12.128272899541331,16.823805120684497,0.5612068965517242,0.0077586206896551,4.371989418819033,8.768806425949625,5.370650078082908,0.7206896551724138,64.97393735688308,16.558120357156383,30.349093397400996
30,58,1740,20.52651085162985,23.000344827586208,34.43148790907221,44.42493397429747,13.72070636756786,17.69997247275532,0.5367816091954023,0.0063218390804597,4.8550951797660735,10.263255425814926,6.5966867030352,0.7247126436781609,79.61257008519667,10.755638641509773,22.49512868383119
60,58,3480,28.95599617092089,27.957528735632188,49.484621684706696,47.44396755617372,19.042141449110304,19.771633722401454,0.5189655172413793,0.004597701149425287,6.268428989103471,14.477998085460445,10.182172675472566,0.7468390804597701,118.49459791512325,-3.5713722937755388,-4.301187766636171
