alpha,forecast_step,rows,ensemble_mae,chronos_mae,random_walk_mae,ensemble_rmse,chronos_rmse,random_walk_rmse,ensemble_direction_accuracy,chronos_direction_accuracy,random_walk_direction_accuracy,mae_improvement_vs_random_walk_percent,rmse_improvement_vs_random_walk_percent,mae_improvement_vs_chronos_percent,rmse_improvement_vs_chronos_percent
0.5,1,7,9.452566964285747,9.462276785714298,9.442857142857163,10.978113960311637,10.643425431209648,11.373465359586534,0.5714285714285714,0.5714285714285714,0.14285714285714285,-0.10282715582464838,3.476085667607553,0.1026161213462954,-3.1445565270799354
0.5,2,7,15.402957589285668,14.677343749999961,16.128571428571345,19.775582694532595,19.139521077067986,20.439562477844596,0.8571428571428571,0.8571428571428571,0.0,4.498934344552492,3.248502916986214,-4.94376810712571,-3.323289098527685
0.5,3,7,22.462247140066957,21.424494280133917,23.499999999999968,26.404549818098875,25.604933507026633,27.234038575702563,1.0,1.0,0.0,4.415969616736224,3.045779476657326,-4.843768288595296,-3.1228993852017126
0.5,4,7,24.55860595703127,23.43149762834823,25.68571428571428,26.68065046452448,25.806357174726923,27.59114764868304,1.0,1.0,0.0,4.388074694538977,3.2999612620391336,-4.810227440688321,-3.3878988959115186
0.5,5,7,27.310388183593755,26.135062081473215,28.485714285714266,30.726121657600245,29.702437215672333,31.78004764897982,1.0,1.0,0.0,4.126019415668798,3.31631343986801,-4.4971238195516365,-3.446466141801221
0.5,6,7,32.62567661830359,31.308496093750005,33.94285714285713,39.31598681248233,38.17310459669211,40.48520011771496,1.0,1.0,0.0,3.88058235348266,2.8880017928354587,-4.207102508563243,-2.993946203393822
0.5,7,7,31.223320661272346,29.960927036830363,32.4857142857143,34.664119569761944,33.53212363850837,35.83035425047158,1.0,1.0,0.0,3.885996205406193,3.254879012797609,-4.2134665021884965,-3.375855175344727
0.5,8,7,32.49734584263394,31.066120256696422,33.92857142857143,34.22830746073764,32.992640158981644,35.51778226667395,1.0,1.0,0.0,4.218349095394707,3.6305048447414245,-4.607030340806758,-3.745281662218256
0.5,9,7,32.598801967075914,31.240461077008927,33.95714285714286,35.3804221565638,34.30945405935337,36.52069863202822,0.8571428571428571,0.8571428571428571,0.0,4.000162486524458,3.122274540674885,-4.348018061316782,-3.1214955952307473
0.5,10,7,35.75493338448661,34.39558105468749,37.11428571428571,41.40114250365545,40.64641891340984,42.233872661644455,0.8571428571428571,0.8571428571428571,0.0,3.662612128019115,1.9717115800873868,-3.952113289314145,-1.856802174512394
0.5,11,7,38.25521065848219,36.93899274553574,39.571428571428605,44.50643047427461,43.929018882283614,45.16762430894821,0.7142857142857143,0.7142857142857143,0.0,3.326182451489129,1.4638667514390702,-3.563220908630543,-1.3144195037414372
0.5,12,7,39.8771920340402,38.511526925223215,41.24285714285715,45.34054461910665,44.67076017764238,46.09730391868303,0.7142857142857143,0.7142857142857143,0.0,3.311276675344176,1.6416563122895982,-3.5461203900553167,-1.499379994432015
0.5,13,7,40.27509416852682,38.75018833705359,41.80000000000002,44.05559512631832,43.07259216822363,45.11420428835502,0.8571428571428571,0.8571428571428571,0.0,3.6481000752947312,2.3465096608385627,-3.9352217290131026,-2.2822006027765718
0.5,14,7,44.27893415178577,42.95786830357146,45.60000000000004,49.59708519183036,48.94958920835096,50.32508604775844,0.7142857142857143,0.7142857142857143,0.0,2.8970742285400584,1.4465963460791866,-3.0752593189184823,-1.3227812407646051
0.5,15,7,44.826011439732156,43.36630859374999,46.285714285714285,48.97489368842691,48.34808882338565,49.72271685485994,0.7142857142857143,0.7142857142857143,0.0,3.1536789882329943,1.503986937431269,-3.365983624883716,-1.2964418662565143
0.5,16,7,44.88705008370539,43.402671595982156,46.37142857142859,52.272444717416,51.68082592074977,52.96872392540446,0.7142857142857143,0.7142857142857143,0.0,3.2010626660697423,1.3145100662969087,-3.4200164025401714,-1.1447549185329449
0.5,17,7,42.52237723214288,42.016183035714285,43.02857142857143,49.408613620398135,48.818023685202824,50.15498835751893,0.5714285714285714,0.5714285714285714,0.0,1.1764141351261175,1.4881365973019987,-1.204760070657355,-1.2097784601106742
0.5,18,7,39.61075090680801,38.12905622209814,41.39999999999996,48.619350579586225,48.10394626927753,49.27682735612867,0.7142857142857143,0.7142857142857143,0.0,4.321857713024051,1.334251435854004,-3.8859988458123214,-1.0714387285890279
0.5,19,7,46.83350306919647,44.98129185267859,48.68571428571431,53.334241619904795,52.36054281530765,54.433917997618295,0.7142857142857143,0.7142857142857143,0.0,3.8044244470730346,2.0202043471528457,-4.117736819529745,-1.8596041069163243
0.5,20,7,52.19500558035718,51.43286830357143,52.9571428571429,59.2995669309492,58.53187246353156,60.18133312866092,0.5714285714285714,0.5714285714285714,0.0,1.4391586019692482,1.4651822282278175,-1.4818097880277639,-1.3115836468343773
