year,rows,original_coverage,corrected_coverage,coverage_change_percentage_points,original_mean_width,corrected_mean_width,mean_width_increase,mean_width_increase_percent,corrected_below_rate,corrected_above_rate
2020,240,0.6958333333333333,0.7625,6.666666666666665,38.81663920084635,44.83372904459635,6.01708984375,15.501315847093748,0.19583333333333333,0.041666666666666664
2021,240,0.8,0.8916666666666667,9.166666666666668,34.60535736083985,40.62244720458985,6.01708984375,17.387740808476856,0.008333333333333333,0.1
