requested_origin,rows,original_coverage,corrected_coverage,coverage_change_percentage_points,original_mean_width,corrected_mean_width,mean_width_increase,mean_width_increase_percent,corrected_below_rate,corrected_above_rate
2026-01-01,20,0.85,0.95,9.999999999999998,62.68431396484375,68.70140380859375,6.01708984375,9.5990359679531,0.0,0.05
2026-02-01,20,0.75,0.8,5.000000000000004,67.62818603515625,73.64527587890625,6.01708984375,8.897310716898483,0.0,0.2
2026-03-01,20,0.0,0.05,5.0,59.93363647460937,65.95072631835937,6.01708984375,10.039587446523647,0.0,0.95
2026-04-01,20,0.2,0.2,0.0,62.54005737304688,68.55714721679688,6.01708984375,9.621177364546531,0.8,0.0
2026-05-01,20,0.9,0.95,4.999999999999993,61.66679077148437,67.68388061523437,6.01708984375,9.757423352947354,0.05,0.0
2026-06-01,20,0.85,0.85,0.0,61.234002685546876,67.25109252929687,6.01708984375,9.826386615046827,0.0,0.15
2026-07-01,20,0.25,0.25,0.0,57.7810302734375,63.7981201171875,6.01708984375,10.413607745094351,0.75,0.0
