date,value,raw_rate,raw_unit,normalized_rate,normalized_unit,stat_code,item_code,item_name,unit_name,series_code,notes,kr_yield_source_published_at_kst,kr_yield_safe_from_krw_date,kr_yield_availability_rule
2024-07-01,3.21,3.21,연%,3.21,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2024-07-01T16:00:00+09:00,2024-07-02,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2024-07-02,3.169,3.169,연%,3.169,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2024-07-02T16:00:00+09:00,2024-07-03,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2024-07-03,3.16,3.16,연%,3.16,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2024-07-03T16:00:00+09:00,2024-07-04,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2024-07-04,3.128,3.128,연%,3.128,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2024-07-04T16:00:00+09:00,2024-07-05,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2024-07-05,3.115,3.115,연%,3.115,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2024-07-05T16:00:00+09:00,2024-07-06,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2024-07-08,3.119,3.119,연%,3.119,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2024-07-08T16:00:00+09:00,2024-07-09,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2024-07-09,3.114,3.114,연%,3.114,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2024-07-09T16:00:00+09:00,2024-07-10,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2024-07-10,3.12,3.12,연%,3.12,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2024-07-10T16:00:00+09:00,2024-07-11,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
