date,value,raw_rate,raw_unit,normalized_rate,normalized_unit,stat_code,item_code,item_name,unit_name,series_code,notes,kr_yield_source_published_at_kst,kr_yield_safe_from_krw_date,kr_yield_availability_rule
2015-01-14,1.974,1.974,연%,1.974,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-01-14T16:00:00+09:00,2015-01-15,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-01-15,2.044,2.044,연%,2.044,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-01-15T16:00:00+09:00,2015-01-16,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-01-16,2.012,2.012,연%,2.012,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-01-16T16:00:00+09:00,2015-01-17,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-01-19,2.038,2.038,연%,2.038,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-01-19T16:00:00+09:00,2015-01-20,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-01-20,2.031,2.031,연%,2.031,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-01-20T16:00:00+09:00,2015-01-21,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-01-21,2.045,2.045,연%,2.045,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-01-21T16:00:00+09:00,2015-01-22,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-01-22,2.063,2.063,연%,2.063,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-01-22T16:00:00+09:00,2015-01-23,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-01-23,2.027,2.027,연%,2.027,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-01-23T16:00:00+09:00,2015-01-24,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-01-26,2.024,2.024,연%,2.024,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-01-26T16:00:00+09:00,2015-01-27,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-01-27,2.029,2.029,연%,2.029,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-01-27T16:00:00+09:00,2015-01-28,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
