date,value,item_code,item_name,unit_name,series_code,notes
2020-01-02,1157.8,0000001,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD)
2020-01-03,1156.9,0000001,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD)
2020-01-06,1162.7,0000001,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD)
